questions,answers,contexts
What is the amount of advance(s) paid during the financial year on net capital gains and losses?, none,Advance(s) paid during the financial year on net capital gains and losses: none
What is the amount of advance(s) paid during the financial year on result?, none,Advance(s) paid during the financial year on result: none
What is the net assets at the end of the financial year?,"421,199,970.04","Net assets at the end of the financial year: 421,199,970.04"
What is the rate of return for the financial year?,not specified,Rate of return for the financial year: not specified
"What is the total value of receivables and payables for OFI FINANCIAL INVESTMENT - RS EURO EQUITY Sub-Fund as of December 31, 2021?","The total value of receivables and payables for OFI FINANCIAL INVESTMENT - RS EURO EQUITY Sub-Fund as of December 31, 2021, is 249,580.13 euros.","According to the 'Balance Sheet' section, the total receivables are 147,010.26 euros, and the total payables are 240,211.88 euros, resulting in a total value of receivables and payables of 249,580.13 euros."
What was the total amount of advances on result paid in respect of the financial year 2021 for OFI Financial Investment - RS Euro Equity Sub-Fund?,"714,194.39","Table showing allocation of distributable amounts relating to result (in euros), 31/12/2021"
What was the total amount of advances on net capital gains and losses paid in respect of the financial year 2021 for OFI Financial Investment - RS Euro Equity Sub-Fund?,"2,061,914.27","Table showing allocation of distributable amounts relating to result (in euros), 31/12/2021"
"What was the total amount of distributable amounts relating to the result for OFI Financial Investment - RS Euro Equity Sub-Fund as of December 31, 2021?","3,849,668.84","Table showing allocation of distributable amounts relating to result (in euros), 31/12/2021"
"What was the number of shares or units conferring entitlement to distribution for OFI Financial Investment - RS Euro Equity Sub-Fund as of December 31, 2021?","1,519,464.8394","Information relating to shares or units conferring entitlement to distribution, 31/12/2021"
What is the total amount of distributable sums relating to the result for the financial year 2021?,"31,495.00",Table showing allocation of distributable amounts relating to the result (in euros) (continued)
What is the total amount of distributable sums relating to net capital gains and losses for the financial year 2021?,"10,872,176.98",Table showing allocation of distributable sums relating to net capital gains and losses (in euros)
"What is the number of shares or units conferring entitlement to distribution for the R share class as of December 31, 2021?","1,086,385.7302",Information relating to shares or units conferring entitlement to distribution
"What is the number of shares or units conferring entitlement to distribution for the D share class as of December 31, 2021?","371,505.8223", Information relating to shares or units conferring entitlement to distribution
What is the total amount of distributable sums relating to net capital gains and losses for the financial year 2021?,"31,949,147.77","Table showing allocation of distributable sums relating to net capital gains and losses (in euros) (continued)
31/12/2021
31/12/2020
Allocation
Distribution
- -Net capital gains and losses not distributed
31,949,147.77
15,143,070.35
Accumulation
- -Total
31,949,147.77
15,143,070.35"
What is the total amount of advances paid on net capital gains and losses for the financial year 2021?,"-580,773.77","Table showing allocation of distributable sums relating to net capital gains and losses (in euros) (continued)
31/12/2021
31/12/2020
Allocation
Distribution
- -Net capital gains and losses not distributed
31,949,147.77
15,143,070.35
Accumulation
- -Total
31,949,147.77
15,143,070.35"
What is the total amount of net capital gains and losses for the financial year 2021?,"18,035,172.46","Table showing allocation of distributable sums relating to net capital gains and losses (in euros) (continued)
31/12/2021
31/12/2020
Allocation
Distribution
- -Net capital gains and losses not distributed
31,949,147.77
15,143,070.35
Accumulation
- -Total
31,949,147.77
15,143,070.35"
"What is the amount of net assets in EUR for the RF share class as of December 31, 2021?",138.48,Table showing results and other characteristic elements of the UCI during the last five financial years (in euros).
"What is the distribution per unit on net capital gains and losses (including advances) for the RF share class as of December 31, 2021?",- -,Distribution per unit on net capital gains and losses (including advances)
"What is the net asset value per unit in EUR for the RF share class as of December 31, 2021?",138.48,Net asset value per unit
"What is the number of securities for the RF share class as of December 31, 2021?",1.0000,Number of securities
What was the nominal value of the EI C EUR unit class when it was created on 28/07/2017?,EUR 100.00,The EI C EUR unit class was created on 28/07/2017 with a nominal value of EUR 100.00.
What was the nominal value of the R unit class when it was created on 28/08/2017?,EUR 100.00,The R unit class was created on 28/08/2017 with a nominal value of EUR 100.00.
What was the nominal value of the RF unit class when it was created on 09/03/2018?,EUR 100.00,The RF unit class was created on 09/03/2018 with a nominal value of EUR 100.00.
What was the market value of the AENA SME SA security as of 31 December 2021?,"EUR 6,545,669.20","AENA SME SA, EUR 47,159.00, 6,545,669.20"
What regulations does Scalable Capital need to comply with regarding sustainability-related disclosures?,"Regulations (EU) 2019/2088 and (EU) 2020/852, including respective supplements",1. General explanations
Does Scalable Capital consider adverse impacts of investment decisions on sustainability factors?,"No, not in a binding manner at entity level until further notice",2. No consideration of adverse impacts of investment decisions on sustainability factors
What are Scalable Capital's strategies for incorporating Sustainability Risks in general?,"Aiming at a rule-based and cost-efficient investment, with sustainability criteria considered only in the context of ESG investment strategies",3.1. Strategies for incorporating Sustainability Risks in general
How does Scalable Capital mitigate Sustainability Risks for non-ESG investment strategies?,Through the degree of diversification,3.4.1
What is the difference between ESG investment strategies and non-ESG investment strategies of Scalable Capital?,"ESG investment strategies consider environmental, social or governance characteristics, while non-ESG investment strategies do not",3.2. Differentiation of investment strategies with regard to sustainability
Is Scalable Capital's remuneration policy in line with their Sustainability Risk inclusion strategies?,Yes,3.4.1
Where can interested parties find the most recent version of this document?,"On the websites of Scalable Capital, Oskar and Gerd Kommer Capital under 'Sustainability-related disclosures' in the footer",1. General explanations
What is the purpose of Scalable Capital's internal organizational guidelines?,"To ensure observance and compliance with sustainability risk inclusion strategies and to base employee performance assessment, professional development, and remuneration development on it",3.4.1
What does Scalable Capital's stance on adverse impacts of investment decisions on sustainability factors indicate about their approach to sustainability?,"It indicates that they are not yet considering adverse impacts of investment decisions on sustainability factors in a binding manner at entity level, but will re-evaluate and adjust their position as soon as relevant regulatory requirements are published in a complete and binding manner and required reliable data sources are available",2. No consideration of adverse impacts of investment decisions on sustainability factors
What is the purpose of Scalable Capital's remuneration policy?,"The purpose of Scalable Capital's remuneration policy is to provide a positive assessment of the employees' work performance and serves as the basis for professional development, as well as appropriate remuneration development.",3.1. Remuneration policy
What is the differentiation between ESG investment strategies and non-ESG investment strategies?,"ESG investment strategies consider environmental, social, and governance characteristics, while non-ESG investment strategies do not consider these factors.",3.2. Differentiation of investment strategies with regard to sustainability
What is the name of the financial product that Scalable Capital offers for ESG investment strategies?,The financial product that Scalable Capital offers for ESG investment strategies is called 'ESG investment strategies' (optional plus Gold or plus Crypto1).,3.2. Differentiation of investment strategies with regard to sustainability
Where can further information about Scalable Capital's investment strategies be found?,"Further information about Scalable Capital's investment strategies can be found on the website of Scalable Capital, Oskar and Gerd Kommer Capital, and the Investment Guidelines, as well as on the websites listed in the table in the text.",3.2. Differentiation of investment strategies with regard to sustainability
What is the sustainable investment objective of Scalable Capital's ESG investment strategies?,"The sustainable investment objective of Scalable Capital's ESG investment strategies is to invest in economic activities that contribute to an environmental or social objective, provided that the investment does not significantly harm any environmental or social objective and that the investee companies follow good governance practices.",3.3. ESG investment strategies
What is the minimum proportion of sustainable investments that Scalable Capital's ESG investment strategies will make?,"The minimum proportion of sustainable investments that Scalable Capital's ESG investment strategies will make is not specified, but it will make a minimum of sustainable investments with an environmental objective: __% in economic activities that qualify as environmentally sustainable under the EU Taxonomy and £ in economic activities that do not qualify as environmentally sustainable under the EU Taxonomy.",3.3. ESG investment strategies
What environmental and/or social characteristics are promoted by Scalable Capital's ESG investment strategies?,"Scalable Capital's ESG investment strategies promote environmental and social characteristics by investing in exchange-traded funds (ETFs) and, where applicable, exchange-traded securities that track the performance of various benchmarks that consider environmental, social, and governance criteria.",3.3. ESG investment strategies
Does Scalable Capital's ESG investment strategies have a social objective?,"Yes, Scalable Capital's ESG investment strategies have a social objective, as they promote social characteristics by investing in economic activities that contribute to a social objective, provided that the investment does not significantly harm any environmental or social objective and that the investee companies follow good governance practices.",3.3. ESG investment strategies
What environmental and/or social characteristics are promoted by this financial product?,"The financial product promotes environmental and social characteristics such as exclusion of companies involved in thermal coal based power generation, exclusion of companies involved in the extraction of oil from oil sands, possible exclusion of companies with high greenhouse gas emissions, exclusion of undertakings whose principal source of revenue is the sale or distribution of tobacco products, exclusion of companies involved in business with civilian and socially controversial weapons or nuclear weapons, compliance with high standards of occupational health and safety, compliance with the principles of the United Nations Global Compact, compliance with board independence, and consideration of violations of competition rules and corruption laws.","Scalable Capital selects ETFs, ETCs or other ETPs whose composition takes into account certain ESG standards, i.e. whose investment policy already aims to avoid or reduce Sustainability Risks using suitable and recognised methods of selection and portfolio construction."
What sustainability indicators are used to measure the attainment of each of the environmental or social characteristics promoted by this financial product?,"The sustainability indicators used to measure the attainment of the environmental or social characteristics promoted by this financial product include exclusion of companies whose main source of income is from thermal coal based power generation, exclusion of companies involved in the extraction of oil from oil sands, possible exclusion of companies with high greenhouse gas emissions, exclusion of undertakings whose principal source of revenue is the sale or distribution of tobacco products, exclusion of companies involved in business with civilian and socially controversial weapons or nuclear weapons, compliance with high standards of occupational health and safety, compliance with the principles of the United Nations Global Compact, compliance with board independence, and consideration of violations of competition rules and corruption laws.","Providers such as MSCI calculate so-called ESG ratings, which assess the extent to which companies take into account the sustainability indicators in the areas of environment, social affairs and corporate governance. These ESG ratings are in turn used by Scalable Capital in the selection of financial instruments."
"What is the 'do not significant harm' principle, and how does it apply to this financial product?",The 'do not significant harm' principle is a principle set out in the EU Taxonomy that states that Taxonomy-aligned investments should not significantly harm EU Taxonomy objectives. This principle applies only to those investments underlying the financial product that take into account the EU criteria for environmentally sustainable economic activities. The investments underlying the remaining portion of this financial product do not take into account the EU criteria for environmentally sustainable economic activities.,The EU Taxonomy sets out a 'do not significant harm' principle by which Taxonomy-aligned investments should not significantly harm EU Taxonomy objectives and is accompanied by specific EU criteria.
How does Scalable Capital ensure that the investments underlying this financial product do not significantly harm any environmental or social objectives?,"Scalable Capital ensures that the investments underlying this financial product do not significantly harm any environmental or social objectives by selecting ETFs, ETCs or other ETPs whose composition takes into account certain ESG standards, i.e. whose investment policy already aims to avoid or reduce Sustainability Risks using suitable and recognised methods of selection and portfolio construction. Additionally, any other sustainable investments must also not significantly harm any environmental or social objectives.",The investments underlying the remaining portion of this financial product do not take into account the EU criteria for environmentally sustainable economic activities.
What is the role of MSCI in evaluating the sustainability of this financial product?,"MSCI calculates so-called ESG ratings, which assess the extent to which companies take into account the sustainability indicators in the areas of environment, social affairs and corporate governance. These ESG ratings are in turn used by Scalable Capital in the selection of financial instruments.","Providers such as MSCI calculate so-called ESG ratings, which assess the extent to which companies take into account the sustainability indicators in the areas of environment, social affairs and corporate governance. These ESG ratings are in turn used by Scalable Capital in the selection of financial instruments."
How does Scalable Capital select financial instruments for this financial product?,"Scalable Capital selects financial instruments for this financial product by primarily selecting ETFs, ETCs or other ETPs whose composition takes into account certain ESG standards, i.e. whose investment policy already aims to avoid or reduce Sustainability Risks using suitable and recognised methods of selection and portfolio construction.","Scalable Capital invests in exchange-traded funds (ETFs) and, where applicable, exchange-traded securities that track the performance of commodities (exchange-traded commodities, ETCs) or another underlying, e.g. cryptocurrencies (exchange-traded products, ETPs)."
What investment strategy does this financial product follow?,The ESG investment strategies are based on a strategic asset allocation with special consideration of sustainability aspects. Maximum diversification across regions and asset classes is to be achieved through the predominant use of financial instruments that track market-wide benchmark indices. The key parameter for managing the portfolio is the share quota specified by the client.,"The investment strategy guides investment decisions based on factors such as investment objectives and risk tolerance. Good governance practices include sound management structures, employee relations, remuneration of staff and tax compliance."
Does this financial product consider principal adverse impacts on sustainability factors?,"Although the principal adverse impacts on sustainability factors are considered implicitly, in particular through the relevant exclusion criteria in the selection of ETFs (additions such as ESG or SRI), this does not satisfy the requirements of the relevant EU regulations with sufficient certainty.","Principal adverse impacts are the most significant negative impacts of investment decisions on sustainability factors relating to environmental, social and employee matters, respect for human rights, anti-corruption and anti-bribery matters."
What are the EU criteria for environmentally sustainable economic activities?,"The EU criteria for environmentally sustainable economic activities are not explicitly mentioned in the provided text. However, it is mentioned that the 'do not significant harm' principle applies only to those investments underlying the financial product that take into account the EU criteria for environmentally sustainable economic activities.",The 'do not significant harm' principle applies only to those investments underlying the financial product that take into account the EU criteria for environmentally sustainable economic activities.
What are the minimum requirements for sustainable investments under Regulation (EU) 2019/2088?,"The minimum requirements for sustainable investments under Regulation (EU) 2019/2088 are not explicitly mentioned in the provided text. However, it is mentioned that the ESG investment strategies do neither aim at sustainable investments as their objective within the meaning of Regulation (EU) 2019/2088 and the EU criteria for environmentally sustainable economic activities, nor any minimum proportion of such investments.","The ESG investment strategies do neither aim at sustainable investments as their objective within the meaning of Regulation (EU) 2019/2088 and the EU criteria for environmentally sustainable economic activities, nor any minimum proportion of such investments."
What are the industry standard exclusion criteria used in the selection of ETFs?,"The industry standard exclusion criteria used in the selection of ETFs include the exclusion of companies that violate international norms and standards, such as those related to environmental, social and employee matters, respect for human rights, anti-corruption and anti-bribery matters.","These industry standard exclusion criteria (see also Section 'What sustainability indicators are used to measure the attainment of each of the environmental or social characteristics promoted by this financial product?') are partially congruent with the Principal Adverse Impact (PAI) indicators of the respective EU regulations, in particular: ● Share of non-renewable energy consumption and production ● Exposure to controversial weapons (anti-personnel mines, cluster munitions, chemical and biological weapons) ● Violations of UN Global Compact principles and Organisation for Economic Cooperation and Development (OECD) Guidelines for Multinational Enterprises"
What sustainability indicators does this financial product use to measure the attainment of environmental or social characteristics?,"The financial product uses sustainability indicators such as the share of non-renewable energy consumption and production, exposure to controversial weapons, violations of UN Global Compact principles and Organisation for Economic Cooperation and Development (OECD) Guidelines for Multinational Enterprises to measure the attainment of environmental or social characteristics.","The investment strategy guides investment decisions based on factors such as investment objectives and risk tolerance. Good governance practices include sound management structures, employee relations, remuneration of staff and tax compliance."
What are the binding elements of the investment strategy used to select investments to attain each of the environmental or social characteristics promoted by this financial product?,"Primarily ETFs that take aspects of sustainability into account are selected. These financial instruments are usually labeled by additions such as 'ESG' (abbreviation for Environmental, Social and Governance) or 'SRI' (abbreviation for a so-called 'Socially Responsible Investment'). Through this labeling, product manufacturers demonstrate that certain ESG standards are applied.","As described in the Section 'What investment strategy does this financial product follow?', primarily ETFs that take aspects of sustainability into account are selected."
What is the committed minimum rate to reduce the scope of the investments considered prior to the application of that investment strategy?,A minimum rate of financial instruments with certain sustainability characteristics has not been set.,What is the committed minimum rate to reduce the scope of the investments considered prior to the application of that investment strategy?
What is the policy to assess good governance practices of the investee companies?,"It is common for product manufacturers to include criteria relating to good corporate governance of companies within the ETFs, ETCs or other ETPs in the ESG standards. Factors such as board independence play a role. Violations of competition rules and corruption laws can also have a negative impact here.","It is common for product manufacturers to include criteria relating to good corporate governance of companies within the ETFs, ETCs or other ETPs in the ESG standards."
What is the asset allocation planned for this financial product?,"Under these investment strategies, Scalable Capital invests exclusively in ETFs, ETCs or other ETPs. Within the scope of the investment strategies, investments can therefore only be made indirectly in the various asset classes through the acquisition of corresponding ETFs, ETCs or other ETPs. A direct investment in shares or bonds of individual companies as an investment object is not intended.",Asset allocation describes the share of investments in specific assets.
How does Scalable Capital strive to maintain a globally diversified portfolio approach across all asset classes and regions?,"Scalable Capital strives to maintain a globally diversified portfolio approach across all asset classes and regions, however sustainability criteria cannot be specifically considered for all asset classes such as for example government bonds and commodities.","Scalable Capital strives to maintain a globally diversified portfolio approach across all asset classes and regions, however sustainability criteria cannot be specifically considered for all asset classes such as for example government bonds and commodities."
What is the proportion of bonds within the investment strategy?,"The proportion of bonds within the investment strategy results from the underlying selectable share quota (invested via ETFs) of the strategy: with a higher share quota, a lower proportion remains for investment in other asset classes (and, thus, also in bonds).",The proportion of bonds within the investment strategy results from the underlying selectable share quota (invested via ETFs) of the strategy.
How does Scalable Capital ensure that the standard of the London Bullion Market Association's (LBMA) Responsible Sourcing Programme applies when selecting products that track the performance of gold?,Scalable Capital ensures that the standard of the London Bullion Market Association's (LBMA) Responsible Sourcing Programme applies wherever possible when selecting products that track the performance of gold.,"With products that track the performance of commodities such as gold, not all ESG standards can be taken into account, as well. When selecting products that track the performance of gold, Scalable Capital ensures that the standard of the London Bullion Market Association's (LBMA) Responsible Sourcing Programme applies wherever possible."
How does the use of derivatives attain the environmental or social characteristics promoted by the financial product?,"There is no direct investment in derivatives. However, derivatives may be used within the ETFs, ETCs or other ETPs by the product providers to replicate the reference value. Information on this can be obtained directly from the issuer","The financial product does not invest in derivatives directly, but derivatives may be used by the product providers to replicate the reference value."
To what minimum extent are sustainable investments with an environmental objective aligned with the EU Taxonomy?,"A minimum proportion of investment in transitional and enabling activities has not yet been established. Furthermore, there is no targeted investment as environmentally sustainable economic activities.","The financial product does not have a targeted investment in environmentally sustainable economic activities, and therefore, there is no minimum proportion of investment in transitional and enabling activities."
Does the financial product invest in fossil gas and/or nuclear energy related activities that comply with the EU Taxonomy?,"No, there is no targeted investment in environmentally sustainable economic activities, and therefore, there is no investment in fossil gas and/or nuclear energy related activities that comply with the EU Taxonomy.","The financial product does not have a targeted investment in environmentally sustainable economic activities, and therefore, there is no investment in fossil gas and/or nuclear energy related activities that comply with the EU Taxonomy."
What is the minimum share of investment in transitional and enabling activities?,A minimum proportion of investment in transitional and enabling activities has not yet been established.,"The financial product does not have a targeted investment in environmentally sustainable economic activities, and therefore, there is no minimum proportion of investment in transitional and enabling activities."
What is the minimum share of sustainable investments with an environmental objective that are not aligned with the EU Taxonomy?,The ESG investment strategies do not aim for a sustainable investment as its objective as defined in Regulation (EU) 2019/2088 or minimum share of such investments.,"The financial product does not have a targeted investment in environmentally sustainable economic activities, and therefore, there is no minimum share of sustainable investments with an environmental objective that are not aligned with the EU Taxonomy."
What is the minimum share of socially sustainable investments?,The ESG investment strategies do not aim for a sustainable investment as its objective as defined in Regulation (EU) 2019/2088 or minimum share of such investments.,"The financial product does not have a targeted investment in socially sustainable economic activities, and therefore, there is no minimum share of socially sustainable investments."
"What investments are included under '#2 Other', what is their purpose, and are there any minimum environmental or social safeguards?","For example, government bonds and commodities in particular are used for diversification purposes (see Section 'What is the asset allocation planned for this financial product?'). No minimum environmental or social safeguards have been specified to date.","The financial product includes investments in government bonds and commodities for diversification purposes, but there are no minimum environmental or social safeguards specified to date."
What are the three aspects of sustainability that Scalable Capital takes into account when selecting financial instruments?,"The three aspects of sustainability that Scalable Capital takes into account when selecting financial instruments are environmental, social, and corporate governance.",3.3.2 Transparency in advertising environmental or social features and sustainable investments on websites a. Summary
What are some of the environmental and social indicators that Scalable Capital considers when selecting financial instruments?,"Some of the environmental and social indicators that Scalable Capital considers when selecting financial instruments include the exclusion of companies involved in thermal coal based power generation, the exclusion of companies involved in the extraction of oil from oil sands or the mining of oil sands, and compliance with high standards of occupational health and safety.",3.3.2 Transparency in advertising environmental or social features and sustainable investments on websites a. Summary
How does Scalable Capital ensure that its ESG investment strategies align with the client's sustainability objectives?,"Scalable Capital ensures that its ESG investment strategies align with the client's sustainability objectives by using a strategic asset allocation with special consideration of sustainability aspects and by primarily selecting ETFs, ETCs or other ETPs whose composition takes into account certain ESG standards.",3.3.2 Transparency in advertising environmental or social features and sustainable investments on websites a. Summary
What is the role of product manufacturers in Scalable Capital's ESG investment strategies?,Product manufacturers play a key role in Scalable Capital's ESG investment strategies by providing financial instruments that take into account the three aspects of sustainability and by labeling such financial instruments with additions such as 'ESG' or 'SRI'.,3.3.2 Transparency in advertising environmental or social features and sustainable investments on websites a. Summary
How does Scalable Capital monitor the ESG characteristics within the financial instruments used in its investment strategies?,Scalable Capital monitors the ESG characteristics within the financial instruments used in its investment strategies by relying on the issuer and the provider of the reference index that is to be tracked via the respective financial instrument to track the ESG characteristics.,3.3.2 Transparency in advertising environmental or social features and sustainable investments on websites a. Summary
What are some of the minimum environmental or social safeguards that Scalable Capital specifies for its ESG investment strategies?,Scalable Capital does not specify any minimum environmental or social safeguards for its ESG investment strategies.,3.3.2 Transparency in advertising environmental or social features and sustainable investments on websites a. Summary
Can Scalable Capital's ESG investment strategies be tailored to meet specific client requirements?,"Yes, Scalable Capital's ESG investment strategies can be tailored to meet specific client requirements through the use of a strategic asset allocation with special consideration of sustainability aspects and by primarily selecting ETFs, ETCs or other ETPs whose composition takes into account certain ESG standards.",3.3.2 Transparency in advertising environmental or social features and sustainable investments on websites a. Summary
How does Scalable Capital incorporate sustainability aspects into its ESG investment strategies without aiming for a sustainable investment as its objective?,"Scalable Capital incorporates sustainability aspects into its ESG investment strategies without aiming for a sustainable investment as its objective by using financial instruments that take into account the three aspects of sustainability and by primarily selecting ETFs, ETCs or other ETPs whose composition takes into account certain ESG standards, while not aiming for a sustainable investment as its objective.",3.3.2 Transparency in advertising environmental or social features and sustainable investments on websites a. Summary
What is the difference between Scalable Capital's ESG investment strategies and traditional investment strategies?,"The main difference between Scalable Capital's ESG investment strategies and traditional investment strategies is that ESG investment strategies take into account the three aspects of sustainability and use financial instruments that have been labeled as 'ESG' or 'SRI' to reflect that they have been selected based on certain sustainability standards, whereas traditional investment strategies do not consider sustainability aspects in their investment approach.",3.3.2 Transparency in advertising environmental or social features and sustainable investments on websites a. Summary
What is the purpose of labeling financial instruments with ESG or SRI labels?,To indicate that the financial instrument meets certain ESG standards.,"These financial instruments are usually labelled by additions such as 'ESG' (abbreviation for Environmental, Social and Governance) or 'SRI' (abbreviation for a so-called 'Socially Responsible Investment'). With this labeling, product manufacturers demonstrate that certain ESG standards are applied."
What is Scalable Capital's approach to selecting financial instruments with ESG standards?,"Scalable Capital selects financial instruments that are labeled with ESG or SRI additions and also considers the ESG ratings calculated by providers such as MSCI ESG Research, Sustainalytics or ISS.","Scalable Capital monitors the selected financial instruments to check whether they are labeled with additions such as 'ESG' or 'SRI'. These additions indicate that the financial instruments comply with certain ESG standards. The ESG ratings are in turn used by Scalable Capital in the selection of financial instruments with the aim of maximizing these, under the condition that the usual selection criteria such as costs or liquidity are met."
What is the role of MSCI ESG Research in Scalable Capital's ESG investment strategy?,MSCI ESG Research provides ESG ratings that Scalable Capital uses to select financial instruments with high ESG standards.,Scalable Capital considers the publicly available information of the product manufacturers such as factsheets or Key Investor Information Documents (KIID) to verify the ESG standards within the financial instruments. It also uses MSCI's publicly available offering for ESG ratings.
"How does Scalable Capital assess the ESG standards of companies within ETFs, ETCs or other ETPs?","Scalable Capital uses ESG ratings calculated by providers such as MSCI ESG Research, Sustainalytics or ISS to assess the ESG standards of companies within ETFs, ETCs or other ETPs.","In particular, criteria relating to good corporate governance of companies within ETFs, ETCs or other ETPs are usually taken into account in the ESG standards. Factors such as board independence play a role."
What is the limitation of Scalable Capital's ESG investment strategy?,"The methods and data can be limited by insufficient publication of ESG data by the assessed companies, and there are no uniform and binding requirements as to how companies must be rated with regard to ESG criteria.","The methods and data can be limited by insufficient publication of ESG data by the assessed companies. In addition, there are no uniform and binding requirements as to how companies must be rated with regard to ESG criteria. This can lead to rating agencies arriving at different assessments of companies with regard to the fulfillment of sustainability criteria."
How does Scalable Capital handle the limitation of ESG data and rating differences?,"Scalable Capital uses data from reputable and recognized rating agencies and issuers, which are sometimes specialized in collecting and standardizing ESG data. Scalable Capital may also look at ESG ratings from different providers to get a fully comprehensive picture of companies' compliance with ESG standards.","Scalable Capital, as described in Section h, uses data from reputable and recognized rating agencies and issuers, which are sometimes specialized in collecting and standardizing ESG data. Scalable Capital may also look at ESG ratings from different providers to get a fully comprehensive picture of companies' compliance with ESG standards."
What is the role of the Sustainability Officer in Scalable Capital's ESG investment strategy?,The Sustainability Officer is involved in the investment committee of Scalable Capital and helps to analyze decisions concerning the ESG investment strategies.,"Internally, decisions concerning the ESG investment strategies are analyzed in a regular investment committee consisting of employees from the relevant capital market-oriented departments of Scalable Capital, the Sustainability Officer and the management."
What is the purpose of the investment committee in Scalable Capital?,The purpose of the investment committee is to analyze decisions concerning ESG investment strategies and ensure compliance with ESG criteria.,"Internally, decisions concerning the ESG investment strategies are analyzed in a regular investment committee consisting of employees from the relevant capital market-oriented departments of Scalable Capital, the Sustainability Officer and the management."
What is the responsibility of Scalable Capital's management in the ESG investment strategy?,Scalable Capital's management is responsible for ensuring that the ESG investment strategy is aligned with the company's overall sustainability goals and risk management framework.,Scalable Capital's management is responsible for ensuring that the ESG investment strategy is aligned with the company's overall sustainability goals and risk management framework.
What approaches does Scalable Capital use to mitigate sustainability risks in its non-ESG investment strategies?,"Scalable Capital primarily mitigates sustainability risks through broad diversification across regions, economic sectors, and asset classes. They also consider the impact of sustainability risks on returns and ensure that the standard of the Responsible Sourcing Program of the London Bullion Market Association (LBMA) is observed wherever possible.",3.4. Non-ESG investment strategies
How does Scalable Capital handle engagement policies in the context of wealth management?,"Scalable Capital, as a wealth manager, does not have the ability to exercise voting rights. They rely on the expertise of voting advisors who specialize in sustainable investments and, where applicable, exercise voting rights in accordance with ESG standards.",3.3. Engagement policies
What is the role of the Sustainability Officer in Scalable Capital's investment committee?,"The Sustainability Officer is a member of Scalable Capital's investment committee, which is responsible for analyzing investment strategies and making decisions concerning the ESG investment strategies.",3.3. Engagement policies
How does Scalable Capital ensure compliance with ESG standards in its investment strategies?,"Scalable Capital uses external ESG ratings to assess the applied ESG standards by financial instruments. They also have an investment committee that discusses changes to the financial instruments used, considering compliance with ESG criteria as well as possible effects on the risk-return ratio.",3.3. Due diligence
What is the purpose of the Responsible Sourcing Program of the London Bullion Market Association (LBMA)?,"The Responsible Sourcing Program of the London Bullion Market Association (LBMA) is considered to be the highest proof of quality in the gold industry, which also takes sustainability criteria into account.",3.4. Non-ESG investment strategies
What is the general risk profile of Scalable Capital's non-ESG investment strategies with regard to sustainability risks?,The general risk profile with regard to Sustainability Risks of the non-ESG investment strategies mentioned by Scalable Capital in Clause 3.2 corresponds to that of conventional benchmark portfolios.,3.4. Non-ESG investment strategies
How does Scalable Capital mitigate the impact of sustainability risks on returns in its non-ESG investment strategies?,"Scalable Capital mitigates the impact of sustainability risks on returns through broad diversification across regions, economic sectors, and asset classes, as well as by considering the impact of sustainability risks on returns.",3.4. Non-ESG investment strategies
What is the significance of Regulation (EU) 2020/852 in relation to Scalable Capital's non-ESG investment strategies?,Regulation (EU) 2020/852 requires the following disclosure for non-ESG investment strategies: 'The investments underlying this financial product do not take into account the EU criteria for environmentally sustainable economic activities.',3.4. Non-ESG investment strategies
What is the primary objective of Scalable Capital's investment strategies?,The primary objective of Scalable Capital's investment strategies is to achieve a fully comprehensive picture of companies' compliance with ESG standards.,3.3. Due diligence
How does Scalable Capital determine which financial instruments are used in its investment strategies?,Scalable Capital determines which financial instruments are used in its investment strategies by analyzing the applied ESG standards by financial instruments using external ESG ratings.,3.3. Due diligence
What is the primary focus of SUSI Partners AG's investment efforts?,SUSI Partners AG focuses on investing in energy transition infrastructure to generate attractive risk-adjusted returns for clients while contributing to global climate neutrality.,"Introduction, 3"
What challenges does SUSI Partners AG face in its investment efforts?,"SUSI Partners AG faces challenges such as rising interest rates, securing supply chains, ensuring human rights are respected, mobilizing private capital, and building clean energy infrastructure in partnership with local communities without harming ecosystems.","Note from the Co-CEOs, 3"
How does SUSI Partners AG approach ESG factors in its investment decisions?,SUSI Partners AG considers ESG factors at every turn and has made efforts to fortify a mindset that prioritizes ESG in its daily conduct.,"Note from the Co-CEOs, 3"
What is SUSI Partners AG's track record in energy transition infrastructure investments?,SUSI Partners AG has a 13-year track record in energy transition infrastructure investments and has completed over 140 transactions and invested over 1.5 billion € to date.,"SUSI at a Glance, 4"
What are SUSI Partners AG's core values?,"SUSI Partners AG's core values are performance, sustainability, partnership, and innovation.","SUSI at a Glance, 4"
How does SUSI Partners AG measure its impact on climate change?,"SUSI Partners AG measures its impact on climate change by tracking the amount of CO2 emissions avoided through its investments, which currently stands at over 3.4 million tCO2 avoided to date.","SUSI at a Glance, 4"
What is the total amount of investor commitments that SUSI Partners has received?,1.9bn €,"As of 31 December 2022, SUSI Partners has received 1.9bn € in investor commitments."
How many transactions has SUSI Partners completed?,140+,"As of 31 December 2022, SUSI Partners has completed over 140 transactions."
What is the total amount of capital that SUSI Partners has invested?,1.5bn €,"As of 31 December 2022, SUSI Partners has invested 1.5bn € in various projects and companies."
In how many countries has SUSI Partners invested?,20+,SUSI Partners has invested in over 20 countries across the globe.
